width_cm,length_cm,height_cm,num_computers,hours_per_day,lighting_type,has_ac,climate_factor,monthly_kwh,sustainability_score
1163,1454,295,23,12.533794389256213,Other,1,Warm,2152.4674308702047,88.37020563469267
1110,1319,292,22,14.052521270887937,Other,1,Cool,2080.987709812545,90.26471017617214
1178,1487,316,29,6.508859448852564,Fluorescent,0,Cool,1302.989274418153,90.29209712265293
662,1263,275,30,15.786020119953227,Other,1,Hot,2956.842773553821,64.28040095347788
971,1380,261,5,5.11723321367079,Other,1,Hot,957.4006764156961,84.52499018590204
498,1158,307,20,14.765323119430924,Fluorescent,1,Cool,1715.312966819826,75.62252930847313
551,553,292,28,14.211141385210153,LED,1,Cool,1953.8513589514266,61.08004005716443
511,1009,348,39,15.683966041063808,LED,0,Cool,3130.8418332137126,70.10205824866935
737,1205,313,39,11.823535114031205,Other,0,Hot,2412.498296780454,72.64206176203089
797,776,307,24,8.39762541499432,Fluorescent,0,Warm,1012.0346206920618,81.33976086518172
791,634,326,21,7.696729502228671,Fluorescent,1,Hot,1149.2690041054673,70.94054946512499
869,874,281,34,15.676126657029346,Fluorescent,0,Hot,3177.3931505840487,55.22420116638233
764,1062,313,12,11.573663511967155,Other,0,Hot,850.9026426698415,83.29887598605728
683,1378,323,37,6.3429158535765335,Other,1,Hot,1831.7074048728796,77.94926175580632
1058,1015,294,21,15.934606129568092,Fluorescent,0,Warm,1839.1366894334292,80.34948928480728
917,598,296,28,7.969003656046164,Fluorescent,0,Warm,1121.392161083691,78.1826333846805
701,680,319,37,4.9041550720735385,LED,1,Hot,1063.8266917988608,81.00788826216676
560,755,326,22,10.681615149500201,LED,0,Hot,1091.6405816345764,79.15993026863596
1134,1065,317,7,10.84073404107238,Fluorescent,0,Cool,742.7359790538627,91.11990344239177
1062,1461,286,6,7.870609170863206,Fluorescent,0,Hot,555.4501187149239,82.49657667822905
503,1428,268,33,7.558121723773581,Other,0,Hot,1155.502086157313,77.99479050529267
807,1024,319,11,10.018195536246395,Fluorescent,1,Cool,773.5816400795019,89.13089370523485
1084,519,324,12,12.42360252709244,LED,1,Warm,921.3176784302847,91.89124316001197
870,642,325,36,10.939361691954087,LED,0,Cool,1880.2462040747296,84.28394408416746
450,1164,317,26,11.089999126828129,Other,0,Cool,1403.0375000372674,83.1004742094923
843,1112,267,9,9.487181939364742,Other,1,Cool,689.5225319621968,94.49021268440725
1173,1376,306,39,11.649158817978478,Other,0,Cool,2242.9769517109276,90.9172589188537
1056,619,322,23,9.267657048467633,Other,1,Hot,1471.1599996941557,76.02089185016592
745,1240,349,27,9.139773699281292,LED,1,Hot,1704.0031778985497,84.42946396255067
1033,1012,293,36,10.590719976473446,Other,1,Cool,2060.2034083810477,86.54785181862957
959,1100,260,20,10.2003550891188,Other,0,Hot,1129.9584308382514,81.76036787418238
646,1462,335,30,8.271672143815138,Fluorescent,1,Hot,2040.0433891276248,72.10430650029875
485,1196,288,18,5.101588789761303,Other,1,Warm,627.0473036128399,89.49302630076534
852,703,275,30,13.16037307604693,Other,1,Cool,1941.3163874239192,76.42787677924535
740,1050,292,34,11.79728419171316,LED,0,Cool,1910.9752154777368,88.1546057414561
1161,1158,317,36,14.277878094259867,Fluorescent,0,Hot,2964.6647372492052,71.08748831610254
724,1015,275,28,15.326699254729085,Other,0,Hot,2330.530020632448,66.93532204642618
1089,1174,292,37,13.734450120832037,LED,0,Cool,2617.9336419262895,90.97477614775532
826,1112,271,7,13.845122125255216,Other,0,Cool,698.888132073022,94.38456330112308
684,896,271,35,8.52710899873571,LED,0,Warm,1463.4341429244341,84.37740840169745
652,998,294,27,4.854263781522748,LED,0,Warm,677.0451196807102,94.92181123985053
1001,917,266,8,12.314684304303272,Other,1,Cool,751.8189084492022,93.84173759965404
1025,992,334,33,4.470235920107755,Other,0,Hot,828.4250963633401,85.12133229785508
1075,893,332,28,13.682016871207168,Other,1,Cool,2088.5040205597056,86.89408628199276
1088,598,295,22,7.0001973905932555,Fluorescent,1,Cool,914.0235021167015,85.47565182674488
1135,536,271,17,12.878905125368494,LED,0,Hot,1115.3868376223156,81.46913475898404
1197,772,321,24,13.917489593292899,Fluorescent,1,Warm,2182.6667214692784,77.28362183073189
576,1111,271,23,5.095440121433603,Fluorescent,1,Hot,972.8027474576236,73.78113425436612
854,1295,337,35,15.407285763250673,LED,0,Cool,2938.7027721634818,89.23012981373608
468,598,271,29,10.64443662814961,Fluorescent,1,Cool,1574.9002657855276,53.46954166917111
868,983,312,27,13.37555260565443,LED,0,Cool,1959.2149593052723,90.28079863209484
1150,1087,268,14,14.043566490848486,Other,1,Cool,1409.00943194722,91.58833985776558
652,729,266,17,6.670917010852366,Fluorescent,0,Warm,632.2747899607601,81.99817846706
593,1016,288,23,10.975665006721387,Fluorescent,0,Cool,1318.7702837658596,79.7994865116048
764,1332,345,21,15.366982928606305,Fluorescent,0,Cool,1852.307018182406,84.44820635464507
844,1375,313,31,6.984689853163456,Other,0,Cool,1156.426878140538,93.63265047350397
930,538,326,17,8.862425041377005,LED,0,Warm,803.6816405425874,92.1455765840874
855,1328,298,5,12.172473125162908,Fluorescent,1,Cool,774.4836004783702,90.4221477900394
747,689,322,29,14.423189538273522,Fluorescent,0,Cool,2128.5122682571905,69.3131731672405
628,1175,278,24,4.905214565077231,Fluorescent,0,Warm,663.0023499308833,85.53597902339145
446,732,308,18,7.533927362073158,Fluorescent,1,Warm,817.1582479156563,75.7467764798736
411,829,275,12,8.734261583297558,Fluorescent,1,Cool,560.9737261837602,83.02588374085369
807,1167,267,32,11.762180340024686,LED,1,Cool,1786.825866836582,90.78795498471825
939,1231,300,31,12.37794056823694,LED,0,Hot,1887.1351322992778,84.1160109645351
544,700,292,24,11.233382584279582,Fluorescent,0,Cool,1298.1837962377056,71.6500266879082
946,752,265,22,8.99966869286175,Other,1,Hot,1399.9444566531183,75.14796548066572
1108,1314,284,6,4.992981040423674,Other,0,Cool,346.9083577233332,98.32200256355779
404,618,292,5,9.764440982396255,Other,0,Cool,292.63707970836737,91.97201304252638
638,676,270,25,12.994939599712865,LED,0,Hot,1635.1670910091505,66.91586869495556
1088,960,292,38,4.441862411631897,LED,1,Cool,899.0506641299448,99.10435694205346
910,884,280,10,12.300572766026944,Other,0,Hot,855.8250493355434,82.40088003246674
1170,936,282,14,14.195768688128938,Other,0,Hot,1281.7127170707859,81.69939265653335
544,584,337,13,5.54991298181794,LED,1,Hot,527.9750574209128,85.13716530867735
845,948,291,38,8.297952616394086,Other,1,Warm,1816.282857968035,81.41684306122536
471,1050,285,38,9.71452836146817,LED,1,Cool,1717.2702004571481,80.6323547657942
453,735,264,34,14.51984323190014,Fluorescent,1,Cool,2493.0854289288277,38.27458417738616
800,1123,306,27,13.061647068083428,Other,1,Warm,2239.41221559157,80.7080574937029
834,602,297,38,8.207050705679164,Fluorescent,0,Cool,1594.0434523098584,73.61982970005272
497,1349,289,19,9.249699064284748,Fluorescent,0,Cool,963.7348296080394,85.05233001030813
565,980,347,19,8.758513387855242,Other,0,Hot,896.2854490536994,80.67019980280732
1158,605,310,21,15.394247483891705,Fluorescent,0,Warm,1626.851126292689,77.0186075764465
468,1045,265,6,7.945019323450099,LED,0,Warm,272.0417200721157,97.80185446131755
1146,542,334,27,5.53655006749327,Fluorescent,0,Warm,741.2982849452205,84.85351280259346
1095,780,326,36,9.68753968315447,Other,1,Hot,2283.5299333593885,73.59748730332586
492,1171,309,23,13.86148764213339,Other,0,Hot,1522.2203540862376,72.89878200460223
933,904,329,5,10.413082044790276,Other,1,Hot,841.9262231701846,83.93182551519507
923,845,305,38,5.544980779595727,LED,0,Warm,956.34123204702,93.95947092230767
1193,748,306,26,4.981108383386463,LED,0,Hot,624.6317230340848,90.42500562408554
749,606,322,21,7.322531777766445,Other,0,Warm,795.4459940143417,86.11495118262157
652,1191,338,26,6.8333983974088515,Fluorescent,0,Hot,995.0092516864506,77.41804753931088
427,1482,337,28,12.646192736697579,Fluorescent,0,Hot,1870.191011643206,67.46079187735874
1149,862,277,39,8.76596599004899,Other,1,Hot,2192.136559268651,74.01949360894541
591,1484,287,14,10.767581104226036,Fluorescent,1,Cool,935.1492817558379,87.56967753785425
924,711,284,8,8.261251639351658,LED,1,Warm,542.0308991357219,96.1897592440407
632,608,277,26,11.04209341625055,LED,0,Warm,1325.7130558121514,77.08969171326834
994,1053,300,10,14.795768765740148,LED,1,Cool,1036.9171038522147,98.39552921293372
719,1237,318,10,11.269297832282646,Other,1,Hot,1205.756357460168,81.47363645348672
1109,1081,263,34,6.238804288615669,Other,1,Hot,1760.1642572730545,78.83470493040375
749,1106,283,13,4.9628049479397065,LED,0,Cool,319.21926112162276,100.0
947,1419,265,6,10.91198101366792,Other,0,Hot,668.6787747298075,86.24448686508134
474,503,338,10,15.70080595534171,LED,1,Hot,971.4490741023013,70.89056641842448
973,940,325,19,10.420440784538926,Other,0,Warm,1115.514275593314,89.4944750449144
425,934,304,9,6.2445249826902804,LED,0,Warm,279.0142335629928,97.3756897401404
624,1031,271,5,11.327440509299592,Fluorescent,0,Warm,430.760899195476,87.05855774432516
719,1049,296,15,15.18417210708321,LED,0,Hot,1249.4882523090007,83.80649536908848
1089,509,264,27,10.587063758667728,LED,1,Hot,1532.6804924208889,74.0525078401926
412,667,261,24,7.055687857165166,Fluorescent,0,Cool,865.5517993424705,70.86432207000867
949,918,308,9,13.967432893452749,LED,0,Warm,777.0707989460285,96.20796770494533
635,1445,337,15,15.260085481852453,LED,0,Hot,1270.3507898679331,86.78358845096108
748,1339,270,18,13.594445571034187,Fluorescent,1,Hot,2212.474603100111,68.63702183796619
690,1224,296,9,6.828300952779998,Other,0,Warm,430.35431631836735,93.55702444517433
1000,1248,301,29,12.195784761005589,LED,0,Warm,1842.0077794760402,92.19290516932853
694,1115,273,36,9.552157428035278,LED,1,Cool,1794.386664290692,88.01173434268948
542,1492,284,21,14.794894879294821,LED,1,Warm,1696.934732889087,87.22223742146247
902,1461,337,10,15.277985483361702,Fluorescent,0,Cool,1196.038174048797,89.61372673936005
847,999,274,33,9.945083516847587,LED,0,Warm,1694.7467735611463,87.38040471929331
877,730,286,33,5.820098556793014,Fluorescent,1,Cool,962.3868074972004,84.48785917932304
688,753,327,26,12.56876898668337,Fluorescent,1,Hot,1866.1636633422895,62.96827219082458
916,1134,333,37,5.23499236892974,Other,1,Hot,1404.5489468507672,81.87891394750284
615,1447,315,19,13.567544389354644,Other,1,Cool,1553.9846448691383,88.91278375357786
660,656,306,8,12.667030820716796,LED,1,Cool,588.7894695620713,96.11165653482954
1154,1431,295,30,7.021588706883433,Other,1,Cool,1415.1135877763222,94.1902982452175
468,1159,270,14,8.11029108614252,LED,1,Warm,692.7262081733178,92.53983826735345
745,801,271,30,11.034757984201567,Other,1,Warm,1660.9083944594433,76.45918855226945
609,1484,319,16,5.2265519707023955,Other,0,Warm,491.19197831901687,93.5924723799558
450,528,337,26,14.928234379068556,Other,0,Warm,1950.9620070259448,48.26932012943619
1168,1313,280,30,14.066777037351208,LED,1,Cool,2321.067799193427,94.18933967195505
1060,930,332,13,6.46695770050765,Other,0,Warm,560.3883668775111,93.57553912009871
712,616,285,39,8.77802432309132,Fluorescent,0,Hot,1724.20267574138,57.41247469187877
785,1402,341,31,12.850014977316981,Fluorescent,1,Hot,2821.4605277815335,69.96401356736828
928,1139,302,28,10.931583449098566,LED,1,Hot,2231.6662784383575,81.01763601136507
1061,1165,287,25,10.18208418888175,Fluorescent,1,Warm,1756.1840174549502,82.0990513043312
483,860,308,24,8.975489484724285,Fluorescent,1,Hot,1473.4819629791725,61.965514240767604
540,1489,346,23,8.192643988591996,LED,0,Warm,949.5525632864038,95.17371447356685
1069,784,308,33,9.664803341319992,Other,1,Hot,2007.981699369707,74.4423046957635
989,870,306,6,10.413470695086962,Other,0,Hot,498.8457726105835,86.2106971091853
512,613,297,8,6.1831375659432535,Other,1,Warm,320.2492414090909,90.12882166277093
561,879,346,32,14.077466313478848,Other,0,Warm,2108.442781473924,72.2848084767551
790,848,267,5,10.620671143112077,Fluorescent,0,Warm,434.98530689066155,87.13625969436944
1166,827,313,7,14.649525790162036,Other,1,Warm,999.7209560748959,90.3753888078881
1003,763,293,39,6.9180662919934495,Fluorescent,1,Hot,1849.7023538257392,68.50171682381063
890,1411,327,25,8.876707699282264,LED,1,Hot,1884.9257369509241,85.81964517991355
406,829,266,37,6.494635061752328,LED,0,Warm,1021.1267599798613,79.18883570365311
913,1396,306,9,8.101808220374512,Other,1,Cool,709.9897223016553,96.35913617900776
1145,885,326,27,4.4107373298463495,LED,1,Cool,671.5473832013772,100.0
655,1233,268,38,14.332816239696658,LED,0,Cool,2757.8282174198034,79.51656099418027
899,1005,345,28,5.3708551110447615,LED,0,Warm,768.8244066952311,97.06698644453904
1126,627,340,21,7.224128312619353,Other,0,Warm,806.6379668915405,90.2791561256072
951,1461,284,13,5.67227288887389,Fluorescent,0,Hot,544.4331538006746,82.24053120756138
1126,1304,334,10,14.971585678725988,Other,1,Warm,1561.5344686871179,90.63176440265663
441,855,300,38,10.650136030189522,Fluorescent,0,Cool,2041.5565592356622,58.90347015270696
998,1128,345,25,7.164205631615397,Other,0,Cool,1023.1534866717512,94.73119593760575
686,1145,299,38,11.20620232520384,Fluorescent,0,Cool,2070.8987651460266,77.36448794587866
1084,900,285,25,8.59766233899397,Other,1,Cool,1258.3908969390643,90.94832583860898
1033,1057,323,6,5.995400425072953,Other,0,Cool,313.5540105274365,98.22186584334861
691,870,285,33,8.671547368503719,Fluorescent,0,Warm,1458.454083617135,74.97525575283595
695,510,295,39,15.391681564693188,Other,1,Warm,2993.0717278596076,39.75070753476535
805,568,315,37,7.238934668706339,Other,1,Hot,1522.5691655777712,68.85769877265288
1150,647,342,39,14.09835592372052,Fluorescent,0,Hot,2841.1930216820533,62.66929121767933
849,1000,332,13,8.218481933610626,Fluorescent,1,Warm,846.9903323592742,85.99016325117236
1040,716,320,29,6.956824398869282,LED,1,Hot,1422.3498281891336,83.06176618744348
571,934,271,23,7.775158681712931,Fluorescent,0,Warm,953.8693764268769,78.80022201874638
416,829,316,16,10.502811368540298,Fluorescent,0,Hot,881.3046300660635,68.82586351291692
1060,580,346,20,14.190347818783831,Fluorescent,0,Warm,1585.8383192085375,77.08995529155082
936,965,348,16,6.654513301835227,Fluorescent,1,Hot,1194.1412431245471,77.40193004338566
1181,834,266,13,6.311188333427565,LED,0,Cool,465.54284921447794,100.0
897,1326,346,33,9.690570599889565,LED,1,Hot,2257.4220890951087,84.0293919265614
801,942,276,18,11.155238541784637,LED,0,Cool,1031.3629512718621,95.09512449348905
1019,687,304,38,14.619980278279373,Fluorescent,1,Warm,2598.824106732059,67.57681058723543
763,538,274,8,13.488677978067562,Other,1,Warm,763.5391173721999,83.422997098632
796,1221,292,20,9.121804679858371,LED,0,Warm,943.5438637140089,95.35062988620354
1138,669,293,34,4.0028502829106145,Fluorescent,0,Hot,786.7925222124918,77.94569522324893
1180,640,277,36,15.191078913103034,Fluorescent,1,Cool,2846.9758263091494,67.78100881962892
671,939,269,34,9.013201386008005,Fluorescent,1,Warm,1653.3937130225377,72.48961294771347
758,839,264,5,6.865325749219628,Fluorescent,0,Warm,281.16548679864883,88.65067792312051
1069,823,277,29,7.327187748361283,LED,1,Warm,1213.1781118426668,92.043716547566
984,898,308,28,5.493250687562276,Fluorescent,0,Warm,875.1680777300322,85.56869194908111
839,818,305,28,9.608818134998437,Fluorescent,1,Hot,1642.8208436073357,69.3034178892298
625,652,330,8,6.780060416601321,LED,1,Cool,312.5550979054605,100.0
642,992,333,38,8.609087337894994,Other,0,Warm,1643.2297899067173,81.50336651557046
1152,1005,262,10,13.6092362455585,Other,0,Cool,928.6956723863697,93.8767275239422
920,598,279,39,13.098861708449096,Other,1,Cool,2576.3877780352086,66.43025739484833
461,644,347,7,13.789997499887413,Fluorescent,0,Cool,537.5584338090714,84.56387173703429
488,828,327,18,14.321521797015086,Fluorescent,1,Warm,1380.2922159545599,71.10688844831073
666,1116,315,7,7.275512498275779,LED,1,Warm,473.9003265398327,97.95174346099101
1137,831,301,13,7.948616384438452,Fluorescent,1,Warm,915.6449423901395,85.56084154284763
936,760,270,38,8.901438556848385,Fluorescent,1,Cool,1633.7705363077064,77.98751128451181
575,1101,277,10,15.545463671104597,Fluorescent,0,Hot,958.4331322102005,74.0690758324019
1087,1472,287,9,15.897704021740578,Other,0,Warm,1311.2692175293764,91.28912557117324
722,1067,299,38,10.525346895968791,LED,0,Hot,1924.9096221505997,78.2864950705861
1148,788,265,28,13.569112259283138,LED,0,Cool,1982.1792733220568,88.46291545189831
970,1315,300,17,14.044159940364064,LED,0,Hot,1371.4066705576345,87.83233809960339
744,1192,301,31,13.032599674691696,LED,0,Cool,1974.7765923390348,90.20441028027984
762,936,289,35,4.013441337761314,Fluorescent,0,Hot,766.0775496062583,77.56682995468574
657,1217,336,33,7.104259968374896,LED,1,Hot,1623.2428164332048,82.91579010488624
759,722,319,28,13.824153045998102,Fluorescent,1,Cool,1812.5483701023536,74.26280821377784
725,966,289,11,10.495198944113323,Other,0,Cool,692.6039470372161,93.15612636551505
971,834,296,33,13.46568378244893,Fluorescent,0,Hot,2359.2563139107588,65.31533038458515
883,741,327,31,5.996531043187268,LED,1,Hot,1295.673024441899,82.88847727416977
1104,521,349,22,14.458441673828515,Other,1,Warm,1855.4279408372229,78.51404615591183
1103,1186,288,16,12.995821980915096,Other,0,Cool,1368.3773164425033,92.735877277001
406,528,270,37,7.883322629794495,Other,0,Cool,1317.5573944468588,54.47228875900291
478,1427,310,15,12.199544519278062,Other,1,Hot,1273.1713756228592,77.95787036767572
684,1015,340,39,9.416644291956105,Other,0,Hot,1772.7455405816122,74.97981311814347
438,770,288,33,7.580493171879912,LED,1,Hot,1377.3852103067613,66.63857240237581
483,521,334,31,14.416651870387515,Fluorescent,1,Cool,2196.7406016469813,42.72699682008448
781,1247,315,32,12.775240803684227,Other,1,Cool,1993.8367045186365,87.00155080145188
969,1391,297,19,12.95004414437157,Fluorescent,1,Cool,1663.2543509631264,86.69037725214824
562,1331,284,28,8.422316124685134,Fluorescent,1,Hot,1647.3515419383655,69.4910080228268
983,559,305,29,14.42347801546733,Fluorescent,0,Warm,2238.468854200815,65.28741687426609
708,1019,338,31,14.137398737402652,LED,1,Hot,2595.5571515739352,73.71192215050458
1092,1035,319,7,6.225506496119852,Other,1,Warm,678.5068556951005,93.23616510262407
926,652,337,11,5.502229506430606,Fluorescent,1,Warm,508.1492406963795,87.00503104467658
1077,1443,319,26,10.983656822972785,LED,0,Warm,1679.9098092277202,95.22291013890627
516,885,347,12,7.724343507082885,Fluorescent,0,Warm,515.696484907737,85.49118811796444
673,1489,323,22,9.759266016605482,Other,1,Warm,1439.5543959121894,88.10500329779234
1006,665,291,15,12.33978263351851,LED,1,Warm,1138.1103026192172,90.30765192973398
791,1278,345,28,5.7510648884217455,LED,1,Cool,897.2499145815425,99.85462551099829
987,1388,305,36,4.22041164328648,Fluorescent,1,Warm,1166.3873095953898,86.4170167695926
1072,1213,299,36,15.294850050788638,Fluorescent,1,Hot,3759.6632449688136,65.66019157338859
401,724,292,17,4.990102413285055,LED,0,Cool,398.2644031204495,95.60415819037584
502,693,297,30,12.27357962964719,LED,1,Warm,1901.474623508423,65.19327906484125
542,1493,303,15,5.490639600736712,Other,0,Hot,492.2726816788176,85.9845519786762
472,858,291,16,14.451629484953028,Fluorescent,1,Warm,1371.0926010851522,68.7311721041591
1089,1359,321,24,8.073402310513673,LED,0,Warm,1057.1706402681752,97.54935740360834
713,521,285,7,4.489049273109673,LED,1,Hot,393.26884233382657,87.57070810069355
1099,1373,273,15,12.6979187184887,LED,1,Hot,2129.0329550232427,84.66330973876715
936,800,278,12,14.461993347677454,Other,1,Warm,1286.1691171122795,84.64287495856891
708,1194,291,22,4.250333671498457,Other,1,Warm,696.5291123420895,91.33710257315134
711,1372,318,7,4.97831787462912,Other,1,Warm,563.2489794486736,93.36855411256384
1154,534,320,33,9.020797464011832,Other,1,Warm,1659.9853432960363,80.1640663713249
1124,658,317,28,9.105920013376904,Fluorescent,1,Cool,1364.4994096504035,83.36002947169811
915,1231,279,28,10.519606280359461,LED,0,Warm,1698.1375068573323,91.19264295056077
649,616,325,19,14.808422368135101,LED,0,Cool,1382.84887025179,83.71390750617965
1173,794,301,16,8.606165822413555,LED,1,Warm,1023.4383880304587,94.69859080575563
1136,1366,285,12,8.86372219702892,Other,1,Cool,896.1375472186694,95.94742763009262
877,1098,301,18,15.656741128499675,LED,1,Cool,1577.2505958427842,94.11665825054469
952,817,319,18,10.177808247156282,Fluorescent,0,Warm,1046.4100957529208,83.56505551199989
483,629,329,21,8.692978439821129,LED,0,Warm,805.3586844038617,85.88517225218739
823,959,315,27,9.445474496603671,LED,0,Hot,1332.548846875445,84.28026283047325
794,509,326,18,7.970672355870063,Fluorescent,0,Hot,814.6730397577917,72.6331966444218
760,756,264,24,11.054612453324644,Fluorescent,0,Cool,1343.6046643910618,77.28414227394214
912,812,323,24,8.552303079069086,Other,1,Warm,1150.807947553494,87.37768747665933
603,664,308,32,14.370594132090027,Fluorescent,1,Warm,2479.025661804184,51.79547735095931
1019,750,320,24,7.236995338203876,LED,0,Warm,866.6501903450913,94.91257613391322
419,781,288,5,5.465318968120322,Fluorescent,0,Cool,175.62042770018616,91.27310221742056
597,984,318,9,5.2397074854881875,Fluorescent,1,Cool,383.4955530737704,90.89423792838669
675,1192,347,38,7.877567884843343,Other,0,Cool,1557.0427171136882,88.84624706845088
1196,684,298,35,7.050694958769919,LED,1,Cool,1113.90491816086,95.86150724886377
693,1351,282,20,15.2778375031221,LED,0,Hot,1612.8484689743314,82.78240091094787
774,507,344,5,12.769953698450516,Fluorescent,0,Hot,427.6268020430572,78.66440291357777
894,585,306,38,11.939588204453761,Fluorescent,1,Warm,2284.6058696414498,63.44866152802069
518,717,302,14,4.210191890344747,Fluorescent,1,Warm,435.31163780652946,84.23798611621766
702,1243,335,31,15.171384346083734,Other,0,Hot,2371.2185562294167,73.77635133510397
400,646,290,20,13.922066604542529,Other,0,Cool,1395.5221497797663,62.75429300256842
619,1461,323,10,7.817338643417434,Other,0,Warm,568.7841101650683,93.1056582230311
560,1180,348,17,13.388625808699281,Other,0,Cool,1336.335532535624,88.37758888098348
723,1109,263,23,13.694151303295103,LED,0,Hot,1617.921254068219,79.65518050961498
993,896,282,23,14.426807506486853,LED,0,Cool,1561.8912263276034,92.54985485461616
854,1100,344,19,11.56250497994973,Fluorescent,1,Hot,1739.8234442693042,74.23221994575147
1110,642,280,23,8.66269721524415,Other,1,Warm,1121.3866926419619,85.75992120984174
896,790,303,30,11.044740492413812,LED,0,Warm,1583.8996262799783,87.23001947933285
1021,1473,333,6,9.561928525606868,Other,1,Hot,1484.908799093555,84.0699677673626
849,953,287,33,8.094973931513877,Fluorescent,0,Hot,1375.876870516317,73.14976185916699
411,632,307,19,10.403230560722541,LED,1,Hot,1144.353904162813,66.29926124064386
725,1313,302,25,6.349335828202554,Other,0,Warm,883.5884809961634,90.8528987637204
735,1314,274,29,11.856316977176178,LED,0,Hot,1614.382086996871,82.79878560143328
540,969,278,38,5.995979292917706,LED,1,Cool,1077.1972613149017,90.18973247525265
772,1063,286,33,13.636310773991962,LED,0,Cool,1983.2012007396368,88.10025411350203
819,1169,277,6,7.271488008802406,Fluorescent,1,Warm,647.5617858117379,87.1164793806928
1043,589,348,34,6.173792194416164,LED,1,Hot,1268.6099908176732,83.13195250055179
558,1082,322,24,9.802547760639097,Fluorescent,1,Warm,1419.1796339747345,77.40009484750993
1174,1321,260,17,11.219341841755973,Other,1,Warm,1652.1003298082312,88.80550582101995
425,1020,274,14,6.0972813139285265,LED,0,Warm,424.6363843456541,94.84997542754773
1032,1136,301,12,13.239336403020147,Other,1,Hot,1581.2953887702402,81.03772066343073
979,549,283,23,14.21409113023325,Fluorescent,0,Cool,1732.23592954265,72.22305011413911
566,701,348,22,13.199873622404873,LED,0,Hot,1368.3897477429412,75.17897477335666
980,1186,308,39,14.43111549581263,Fluorescent,0,Cool,2864.703936712891,78.9952734151678
1072,1130,280,21,6.141351582733265,Fluorescent,1,Warm,1036.0835539853842,85.89067096966937
854,659,270,14,7.082606171748578,LED,1,Hot,779.9303582383786,84.73453157527572
476,1008,316,29,15.853426242578648,Fluorescent,0,Warm,2344.6817281353947,61.071466559522094
953,873,298,15,15.89507192442626,Fluorescent,1,Warm,1604.8551494667056,79.05379656056085
1099,801,278,8,12.692065805544894,Fluorescent,0,Cool,727.8181225935124,89.05190554414787
435,1243,295,7,8.814254968467793,Fluorescent,1,Hot,732.6792818401059,75.81325831087624
